CATALOGO_PRODUCTO_ID,NOMBRE,PRECIO,DESCRIPCION
63,Western grey kangaroo,770,"Revision of Autologous Tissue Substitute in Right Eye, External Approach"
64,"Stilt, black-winged",3087,"Reposition Left Elbow Joint, Percutaneous Endoscopic Approach"
65,"Dove, mourning collared",2340,Plain Radiography of Left Vertebral Artery
66,"Penguin, magellanic",2191,"Replacement of Left Shoulder Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
67,Gila monster,3648,"Group Counseling for Substance Abuse Treatment, Motivational Enhancement"
68,Masked booby,1401,"Replacement of Right Sternoclavicular Joint with Nonautologous Tissue Substitute, Open Approach"
69,Square-lipped rhinoceros,4466,"Introduction of Antiarrhythmic into Central Vein, Open Approach"
70,Jaguarundi,1492,"Revision of Synthetic Substitute in Occipital-cervical Joint, Percutaneous Approach"
71,"Pigeon, wood",2541,"Introduction of Other Anti-infective into Peripheral Vein, Open Approach"
72,Civet cat,2985,"Release Left Lower Arm and Wrist Muscle, Percutaneous Approach"
73,Blue racer,929,"Revision of Interbody Fusion Device in Cervicothoracic Vertebral Joint, Percutaneous Approach"
74,"Owl, madagascar hawk",671,"Drainage of Left Epididymis with Drainage Device, Percutaneous Approach"
75,"Hyena, spotted",3750,"Dilation of Pulmonary Valve, Percutaneous Approach"
76,Red kangaroo,329,"Removal of Nonautologous Tissue Substitute from Thoracic Vertebra, Open Approach"
77,Aardwolf,1593,"Replacement of Celiac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
78,"Bee-eater, white-fronted",1052,"Insertion of Intraluminal Device into Right Axillary Vein, Percutaneous Approach"
79,Asiatic jackal,324,"Revision of Monitoring Device in Ureter, Open Approach"
80,"Blackbird, red-winged",2251,"Repair Bilateral Seminal Vesicles, Open Approach"
81,"Duck, white-faced whistling",794,"Supplement Jejunum with Synthetic Substitute, Percutaneous Endoscopic Approach"
82,"Bushbaby, large-eared",4992,"Excision of Cervicothoracic Vertebral Joint, Percutaneous Approach, Diagnostic"
83,"Dove, rock",927,"Release Right Internal Mammary Lymphatic, Percutaneous Approach"
84,"Constrictor, eastern boa",1456,"Destruction of Left Ventricle, Percutaneous Approach"
85,Swamp deer,2133,"Fusion of Right Tarsal Joint with Synthetic Substitute, Open Approach"
86,Blue-footed booby,4913,Removal of Female Genital Tract Packing Material
87,"Ox, musk",2145,"Drainage of Right Lung, Via Natural or Artificial Opening"
88,"Whale, baleen",4249,"Drainage of Right Lower Eyelid with Drainage Device, Open Approach"
89,Asian foreset tortoise,2154,Tomographic (Tomo) Nuclear Medicine Imaging of Upper Extremity using Thallium 201 (Tl-201)
90,Oriental white-backed vulture,2988,"Extirpation of Matter from Right Axillary Vein, Percutaneous Endoscopic Approach"
91,Crowned eagle,1940,"Replacement of Head and Neck Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach"
92,"Snake, carpet",439,"Bypass Pancreatic Duct to Small Intestine, Percutaneous Endoscopic Approach"
93,Blue crane,200,"Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
94,Asiatic jackal,1207,"Division of Stomach, Pylorus, Via Natural or Artificial Opening"
95,Ringtail cat,1913,"Bypass Left Subclavian Artery to Right Upper Leg Artery with Nonautologous Tissue Substitute, Open Approach"
96,Small Indian mongoose,2093,Removal of Bandage on Left Finger
97,"Lion, steller sea",2843,"Bypass Right Subclavian Artery to Lower Arm Vein, Open Approach"
98,Desert spiny lizard,3132,"Revision of Extraluminal Device in Tracheobronchial Tree, Percutaneous Endoscopic Approach"
99,"Beaver, north american",3747,"Insertion of Internal Fixation Device into Left Parietal Bone, Percutaneous Approach"
100,Meerkat,1149,"Supplement Left Common Iliac Vein with Synthetic Substitute, Percutaneous Approach"
101,African snake (unidentified),3049,"Bypass Upper Esophagus to Stomach with Autologous Tissue Substitute, Open Approach"
102,"Squirrel, malabar",2856,"Excision of Right Fallopian Tube, Via Natural or Artificial Opening Endoscopic, Diagnostic"
103,Dromedary camel,2615,"Replacement of Left Humeral Head with Autologous Tissue Substitute, Percutaneous Approach"
104,Western bearded dragon,2310,Low Dose Rate (LDR) Brachytherapy of Mediastinum using Other Isotope
105,Spur-winged goose,3636,"Dilation of Right Anterior Tibial Artery with Drug-eluting Intraluminal Device, Open Approach"
106,Gray duiker,2257,Plain Radiography of Thoracic Spine
107,"Tortoise, asian foreset",4334,"Insertion of Internal Fixation Device into Right Glenoid Cavity, Percutaneous Endoscopic Approach"
108,Black-eyed bulbul,646,"Occlusion of Right Subclavian Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
109,"Kite, black",2951,"Bypass Right Common Iliac Artery to Right Internal Iliac Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
110,Purple moorhen,2515,"Bypass Left Atrium to Right Pulmonary Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
111,Large-eared bushbaby,294,"Extirpation of Matter from Descending Colon, Open Approach"
112,African lynx,2690,"Bypass Ileum to Ascending Colon with Autologous Tissue Substitute, Open Approach"
113,Black bear,2482,"Revision of Drainage Device in Stomach, Percutaneous Endoscopic Approach"
114,"Deer, spotted",2702,"Supplement Left Trunk Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
115,"Spoonbill, white",1469,"Supplement Left Inguinal Region with Synthetic Substitute, Open Approach"
116,"Buffalo, wild water",3801,"Supplement Cul-de-sac with Autologous Tissue Substitute, Open Approach"
117,Three-banded plover,414,"Transfer Left Abdomen Muscle, Percutaneous Endoscopic Approach"
118,"Roller, lilac-breasted",3031,"Replacement of Left Kidney Pelvis with Synthetic Substitute, Open Approach"
119,Three-banded plover,2340,"Reposition Left Subclavian Artery, Open Approach"
120,Egyptian viper,73,"Removal of Internal Fixation Device from Right Sacroiliac Joint, External Approach"
121,"Kingfisher, white-throated",851,"Dilation of Right Femoral Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach"
122,Cattle egret,4759,"Extirpation of Matter from Abdominal Aorta, Open Approach"
123,"Mongoose, small indian",3099,"Replacement of Left Patella with Nonautologous Tissue Substitute, Open Approach"
124,Cape Barren goose,3899,"Release Aortic Body, Percutaneous Endoscopic Approach"
125,"Tinamou, elegant crested",4077,"Change Other Device in Nose, External Approach"
126,Collared lemming,1587,"Removal of Autologous Tissue Substitute from Peritoneum, Open Approach"
127,Downy woodpecker,831,"Fusion of Left Metacarpocarpal Joint, Open Approach"
128,Leadbeateri's ground hornbill,3720,"Extraction of Products of Conception, Internal Version, Via Natural or Artificial Opening"
129,"Duck, white-faced whistling",292,"Dilation of Superior Vena Cava with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
130,"Trumpeter, green-winged",2929,"Inspection of Retroperitoneum, Percutaneous Endoscopic Approach"
131,"Tern, white-winged black",3358,"Excision of Left Innominate Vein, Open Approach"
132,"Phascogale, red-tailed",4351,"Measurement of Respiratory Volume, Via Natural or Artificial Opening Endoscopic"
133,Yellow-brown sungazer,4156,"Resection of Cervix, Percutaneous Endoscopic Approach"
134,Grison,3464,"Dilation of Left Internal Iliac Artery, Bifurcation, Open Approach"
135,Honey badger,100,"Revision of Drainage Device in Testis, Via Natural or Artificial Opening Endoscopic"
136,Arboral spiny rat,2017,"Replacement of Right Hip Joint, Acetabular Surface with Metal Synthetic Substitute, Open Approach"
137,Stone sheep,4324,"Dilation of Coronary Artery, One Artery, Bifurcation, Percutaneous Endoscopic Approach"
138,Indian peacock,2739,"Occlusion of Right Posterior Tibial Artery, Percutaneous Approach"
139,Rose-ringed parakeet,186,"Insertion of Airway into Nasopharynx, Via Natural or Artificial Opening Endoscopic"
140,Red hartebeest,4440,"Supplement of Back Subcutaneous Tissue and Fascia with Nonautologous Tissue Substitute, Percutaneous Approach"
141,"Mynah, indian",2455,"Supplement Transverse Colon with Synthetic Substitute, Percutaneous Endoscopic Approach"
142,Swallow-tail gull,2322,"Insertion of Radioactive Element into Right Knee Region, Percutaneous Endoscopic Approach"
143,Bush dog,4509,"Insertion of Pacemaker Lead into Right Ventricle, Percutaneous Approach"
144,Springbok,74,"Transfusion of Nonautologous Fresh Plasma into Central Vein, Percutaneous Approach"
145,"Beaver, european",290,"Dilation of Right Colic Artery with Two Intraluminal Devices, Percutaneous Approach"
146,"Squirrel, golden-mantled ground",4081,"Repair Left Lower Extremity, Percutaneous Endoscopic Approach"
147,Brush-tailed phascogale,83,"Supplement Esophagus with Synthetic Substitute, Percutaneous Endoscopic Approach"
148,Galapagos albatross,1892,"Revision of Internal Fixation Device in Left Patella, External Approach"
149,Cormorant (unidentified),2166,"Extraction of Iliac Bone Marrow, Percutaneous Approach"
150,Four-spotted skimmer,691,"Replacement of Right Tibia with Autologous Tissue Substitute, Open Approach"
151,Grey-footed squirrel,1853,"Occlusion of Right Popliteal Artery, Open Approach"
152,Green-backed heron,1716,"Destruction of Bilateral Adrenal Glands, Percutaneous Endoscopic Approach"
153,Large-eared bushbaby,3178,"Excision of Lower Gingiva, Open Approach, Diagnostic"
154,North American river otter,2568,"Destruction of Pulmonary Valve, Percutaneous Endoscopic Approach"
155,"Bear, black",1635,Compression of Chest Wall using Intermittent Pressure Device
156,Levaillant's barbet,349,"Revision of Infusion Device in Spinal Canal, Percutaneous Endoscopic Approach"
157,"Dolphin, striped",3939,"Revision of Vascular Access Device in Lower Extremity Subcutaneous Tissue and Fascia, Open Approach"
158,"Eagle, long-crested hawk",4863,"Excision of Left Colic Artery, Percutaneous Endoscopic Approach, Diagnostic"
159,"Vulture, white-headed",3901,"Supplement Left Hip Tendon with Nonautologous Tissue Substitute, Open Approach"
160,Egyptian goose,4373,"Removal of Drainage Device from Thoracolumbar Vertebral Joint, External Approach"
161,"Civet, small-toothed palm",2547,"Removal of Nonautologous Tissue Substitute from Left Clavicle, Open Approach"
162,"Goat, mountain",4131,"Supplement Left Upper Leg with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
163,Pacific gull,3019,"Extirpation of Matter from Right Neck Muscle, Percutaneous Endoscopic Approach"
164,White-lipped peccary,2966,"Transfer Head and Neck Bursa and Ligament, Open Approach"
165,African clawless otter,3503,"Reposition Right Rib with Internal Fixation Device, Percutaneous Endoscopic Approach"
166,Salmon pink bird eater tarantula,4782,"Supplement Right Axillary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
167,"Seal, common",2439,"Revision of Nonautologous Tissue Substitute in Right Metacarpal, Percutaneous Approach"
168,Greater flamingo,2013,Range of Motion and Joint Integrity Assessment of Neurological System - Head and Neck using Other Equipment
169,Lesser mouse lemur,2142,"Reposition Lumbar Vertebral Joint with Internal Fixation Device, Percutaneous Approach"
170,"Vulture, king",2262,"Revision of Nonautologous Tissue Substitute in Lumbar Vertebral Joint, External Approach"
171,"Goose, canada",3914,"Occlusion of Left Subclavian Artery with Intraluminal Device, Percutaneous Approach"
172,Cape raven,722,"Extirpation of Matter from Right Humeral Shaft, Percutaneous Approach"
173,"Crow, house",354,"Revision of Internal Fixation Device in Left Patella, Percutaneous Approach"
174,Tsessebe,3234,"Destruction of Left Temporal Bone, Open Approach"
175,Black bear,1691,"Dilation of Left External Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach"
176,European stork,1267,Assistive Listening Device Device Fitting using Audiovisual Equipment
177,Hyrax,4110,"Insertion of Infusion Device into Right Carpal Joint, Percutaneous Endoscopic Approach"
178,Tiger,332,"Supplement Colic Vein with Nonautologous Tissue Substitute, Percutaneous Approach"
179,Cape Barren goose,201,"Bypass Right Subclavian Artery to Left Lower Arm Artery with Nonautologous Tissue Substitute, Open Approach"
180,"Dolphin, bottle-nose",3688,"Restriction of Lingula Bronchus, Percutaneous Approach"
181,"Gull, swallow-tail",3162,"Supplement Right Middle Finger with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
182,Downy woodpecker,1545,"Extirpation of Matter from Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach"
183,"Fox, silver-backed",635,"Destruction of Left Internal Mammary Lymphatic, Percutaneous Endoscopic Approach"
184,Tasmanian devil,4811,Beam Radiation of Abdomen using Photons >10 MeV
185,"Buffalo, american",218,"Dilation of Left Ulnar Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
186,Dark-winged trumpeter,4502,Transfer Training Treatment using Orthosis
187,"Otter, canadian river",1037,"Removal of Synthetic Substitute from Left Acromioclavicular Joint, Percutaneous Approach"
188,"Camel, dromedary",4184,"Bypass Jejunum to Ileum with Nonautologous Tissue Substitute, Open Approach"
189,Stanley bustard,777,"Excision of Left Internal Jugular Vein, Open Approach, Diagnostic"
190,Cape cobra,4407,"Replacement of Right Finger Phalanx with Synthetic Substitute, Percutaneous Endoscopic Approach"
191,Black-throated butcher bird,2290,"Dilation of Abdominal Aorta, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach"
192,"Parakeet, rose-ringed",4847,"Extraction of Vertebral Bone Marrow, Percutaneous Approach, Diagnostic"
193,Long-necked turtle,1434,"Reposition Left Elbow Joint with External Fixation Device, Percutaneous Endoscopic Approach"
194,"Turkey, common",3050,"Bypass Bladder to Cutaneous with Synthetic Substitute, Percutaneous Approach"
195,Carpet snake,4872,"Dilation of Left Renal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach"
196,Argalis,3067,"Supplement Right Index Finger with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
197,"Cow, scottish highland",1325,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
198,Red-shouldered glossy starling,956,"Reposition Right Hip Joint with Internal Fixation Device, Percutaneous Approach"
199,"Badger, european",4055,"Reposition Thoracolumbar Vertebral Joint with Internal Fixation Device, Percutaneous Endoscopic Approach"
200,Harbor seal,4072,"Extirpation of Matter from Right Thyroid Gland Lobe, Percutaneous Approach"
201,"Goose, cape barren",4558,"Dilation of Cecum, Open Approach"
202,"Lizard, blue-tongued",2949,"Replacement of Mitral Valve with Synthetic Substitute, Open Approach"
203,Feral rock pigeon,3347,"Release Left Lacrimal Duct, Percutaneous Approach"
204,"Hartebeest, coke's",3323,"Dilation of Right Thyroid Artery with Two Intraluminal Devices, Percutaneous Approach"
205,"Capuchin, brown",2631,"Destruction of Left Metatarsal-Phalangeal Joint, Open Approach"
206,"Seal, harbor",1329,"Revision of Autologous Tissue Substitute in Right Eye, Via Natural or Artificial Opening"
207,Brush-tailed rat kangaroo,3153,"Restriction of Right Pulmonary Vein with Intraluminal Device, Percutaneous Endoscopic Approach"
208,Horned rattlesnake,2192,"Release Left Axillary Vein, Percutaneous Approach"
209,Red meerkat,4710,"Revision of Extraluminal Device in Ureter, Via Natural or Artificial Opening"
210,"Kingfisher, white-throated",624,"Restriction of Cervix, Via Natural or Artificial Opening Endoscopic"
211,"Chipmunk, least",1057,"Extirpation of Matter from Left Renal Vein, Percutaneous Approach"
212,Brush-tailed rat kangaroo,1870,"Drainage of Right Parotid Gland with Drainage Device, Percutaneous Approach"
213,African skink,3664,"Supplement of Right Lower Arm Subcutaneous Tissue and Fascia with Autologous Tissue Substitute, Open Approach"
214,"Cormorant, javanese",2724,"Restriction of Esophageal Vein, Percutaneous Endoscopic Approach"
215,"Beaver, american",4516,"Supplement Left Hip Tendon with Autologous Tissue Substitute, Open Approach"
216,Mexican boa,4575,"Revision of Nonautologous Tissue Substitute in Fallopian Tube, Percutaneous Approach"
217,"Colobus, white-mantled",4599,"Dilation of Right Internal Carotid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach"
218,Griffon vulture,4952,"Drainage of Soft Palate with Drainage Device, Open Approach"
219,Red phalarope,1557,"Revision of Infusion Device in Lower Extremity Subcutaneous Tissue and Fascia, External Approach"
220,Leopard,329,"Revision of Monitoring Device in Pancreatic Duct, Via Natural or Artificial Opening Endoscopic"
221,Water moccasin,199,"Bypass Jejunum to Transverse Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
222,"Rhinoceros, black",4379,"Drainage of Left Face Vein, Percutaneous Endoscopic Approach"
223,Eagle owl (unidentified),2963,"Restriction of Left Subclavian Artery, Open Approach"
224,"Bird, red-billed tropic",1564,"Reposition Left Toe Phalangeal Joint with External Fixation Device, Percutaneous Approach"
225,"Snake, eastern indigo",1636,"Supplement Uvula with Synthetic Substitute, Percutaneous Approach"
226,"Badger, eurasian",4400,"Supplement Left Internal Mammary Artery with Synthetic Substitute, Open Approach"
227,Gila monster,2020,"Restriction of Ileocecal Valve, Percutaneous Approach"
228,Greylag goose,1532,"Division of Basal Ganglia, Percutaneous Endoscopic Approach"
229,"Possum, pygmy",3132,"Head and Facial Bones, Drainage"
230,Eleven-banded armadillo (unidentified),955,"Insertion of Radioactive Element into Cranial Cavity, Percutaneous Approach"
231,Squirrel glider,2350,"Insertion of Tissue Expander into Left Lower Arm Subcutaneous Tissue and Fascia, Percutaneous Approach"
232,"Heron, gray",539,"Insertion of Infusion Device into Superior Mesenteric Vein, Percutaneous Endoscopic Approach"
233,Common wolf,2675,"Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
234,White-necked raven,4857,"Bypass Coronary Artery, Four or More Arteries from Aorta with Synthetic Substitute, Open Approach"
235,"Teal, hottentot",4046,"Revision of Drainage Device in Sinus, External Approach"
236,Great cormorant,4072,"Release Left Upper Arm Muscle, Percutaneous Approach"
237,"Heron, goliath",4511,"Transfer Small Intestine to Esophagus, Percutaneous Endoscopic Approach"
238,Long-tailed jaeger,1451,"Insertion of Infusion Device into Genitourinary Tract, Open Approach"
239,"Skunk, western spotted",1003,"Monitoring of Central Nervous Electrical Activity, Intraoperative, Percutaneous Approach"
240,"Vulture, white-rumped",201,"Fusion of Left Ankle Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
241,Brown antechinus,4555,"Insertion of Radioactive Element into Prostate, Percutaneous Endoscopic Approach"
242,"Beaver, eurasian",2550,"Bypass Right Popliteal Artery to Foot Artery, Percutaneous Endoscopic Approach"
243,Little cormorant,1124,"Excision of Left Common Iliac Vein, Percutaneous Approach"
244,"Monitor, two-banded",644,"Revision of External Fixation Device in Left Fibula, External Approach"
245,"Lizard, blue-tongued",4096,"Restriction of Ileum, Percutaneous Approach"
246,Tarantula,4304,"Excision of Right Thorax Tendon, Percutaneous Approach, Diagnostic"
247,Common duiker,2934,Dressing Techniques Treatment
248,"Gecko, ring-tailed",2925,"Insertion of Monitoring Device into Right Pulmonary Artery, Open Approach"
249,Southern lapwing,2605,"Excision of Ascending Colon, Open Approach, Diagnostic"
250,"Gull, southern black-backed",2289,"Repair Left Neck Muscle, Open Approach"
251,Desert spiny lizard,4546,Beam Radiation of Lung using Neutrons
252,King cormorant,93,"Dilation of Stomach, Open Approach"
253,"Catfish, blue",2206,"Insertion of Hybrid External Fixation Device into Left Radius, Percutaneous Endoscopic Approach"
254,Flying fox (unidentified),2558,Change Intermittent Pressure Device on Right Hand
255,Radiated tortoise,175,"Irrigation of Upper GI using Irrigating Substance, Percutaneous Approach, Diagnostic"
256,White-winged black tern,3064,"Dilation of Face Artery, Percutaneous Approach"
257,Spotted-tailed quoll,572,"Reposition Lumbosacral Joint, Percutaneous Endoscopic Approach"
258,"Lorikeet, scaly-breasted",2423,"Measurement of Cardiac Rhythm, Percutaneous Approach"
259,Prehensile-tailed porcupine,577,"Supplement Right Abdomen Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach"
260,"Dragon, asian water",2215,"Removal of Nonautologous Tissue Substitute from Lumbar Vertebra, Open Approach"
261,Sage hen,3526,"Fusion of 2 or more Lumbar Vertebral Joints with Synthetic Substitute, Anterior Approach, Anterior Column, Open Approach"
262,Roan antelope,3862,"Dilation of Right Radial Artery with Drug-eluting Intraluminal Device, Percutaneous Approach"
263,Australian pelican,1428,"Occlusion of Right Brachial Artery, Percutaneous Approach"
264,"Gazelle, thomson's",2675,"Drainage of Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic"
265,Nine-banded armadillo,3772,"Dilation of Left Foot Artery with Two Intraluminal Devices, Percutaneous Approach"
266,Black-throated cardinal,2803,"Drainage of Left Renal Vein with Drainage Device, Percutaneous Approach"
267,Black-tailed deer,2788,"Release Right Innominate Vein, Percutaneous Approach"
268,Wolf spider,3568,"Destruction of Left Subclavian Vein, Percutaneous Endoscopic Approach"
269,Brown capuchin,3156,"Removal of Internal Fixation Device from Right Clavicle, External Approach"
270,"Vulture, white-headed",1502,"Excision of Left Toe Phalanx, Percutaneous Endoscopic Approach, Diagnostic"
271,Blue-tongued skink,2613,"Destruction of Left Neck Muscle, Percutaneous Endoscopic Approach"
272,Agouti,3339,"Supplement Right Lower Extremity Bursa and Ligament with Synthetic Substitute, Open Approach"
273,Blue racer,2850,"Dilation of Accessory Pancreatic Duct, Open Approach"
274,"Dragon, komodo",4447,"Fluoroscopy of Gallbladder, Bile Ducts and Pancreatic Ducts using High Osmolar Contrast"
275,"Lapwing, southern",1162,"Insertion of Infusion Device into Right Peroneal Artery, Open Approach"
276,Egyptian goose,1270,"Extirpation of Matter from Left Ankle Bursa and Ligament, Percutaneous Approach"
277,"Hawk, galapagos",4629,"Detachment at Right Upper Leg, Low, Open Approach"
278,"Hyena, spotted",1207,"Supplement Left Shoulder Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
279,"Bear, grizzly",2894,"Excision of Left Hand Artery, Percutaneous Approach, Diagnostic"
280,Sugar glider,1372,"Revision of Monitoring Device in Left Lung, External Approach"
