servicio_id,fecha_revision,descripcion_problema,costo,mascota_id,catalogo_diagnostico_id,empleado_id
29,10/05/2023,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",633.08,29,29,40
30,09/21/2023,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1642.51,30,30,27
31,06/24/2023,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1496.52,31,31,52
32,05/30/2024,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",1373.04,32,32,55
33,07/12/2023,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",1383.31,33,33,66
34,05/24/2024,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,1669.68,34,34,17
35,11/28/2023,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,684.48,35,35,69
36,05/19/2024,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1486.18,36,36,59
37,03/14/2024,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1797.38,37,37,60
38,02/16/2024,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1578.62,38,38,29
39,08/09/2023,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1543.39,39,39,62
40,07/23/2023,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",840.54,40,40,19
41,07/01/2023,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1090.68,41,41,54
42,10/01/2023,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1439.04,42,42,29
43,03/15/2024,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,1745.86,43,43,52
44,08/31/2023,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",1031.23,44,44,63
45,05/11/2024,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,1176.14,45,45,24
46,09/19/2023,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,755.51,46,46,62
47,04/27/2024,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",611.24,47,47,60
48,02/07/2024,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1225.19,48,48,21
49,09/27/2023,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1848.18,49,49,44
50,07/25/2023,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1173.19,50,50,69
51,10/29/2023,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",644.2,51,51,12
52,03/30/2024,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",508.53,52,52,14
53,09/14/2023,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,948.06,53,53,61
54,09/17/2023,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1464.32,54,54,65
55,07/07/2023,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1357.86,55,55,2
56,06/04/2024,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1289.21,56,56,7
57,08/12/2023,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,1186.99,57,57,38
58,05/09/2024,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,832.36,58,58,60
59,03/21/2024,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",898.11,59,59,17
60,10/16/2023,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1650.02,60,60,46
61,08/10/2023,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",606.26,61,61,36
62,04/05/2024,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,744.09,62,62,19
63,06/12/2023,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1482.97,63,63,33
64,07/18/2023,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,1999.03,64,64,34
65,04/22/2024,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",759.27,65,65,53
66,08/07/2023,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",732.44,66,66,47
67,09/28/2023,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",1485.05,67,67,41
68,09/28/2023,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1131.77,68,68,7
69,02/19/2024,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,613.32,69,69,54
70,09/23/2023,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",619.04,70,70,15
71,09/08/2023,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1156.66,71,71,41
72,09/09/2023,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",974.44,72,72,60
73,07/19/2023,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1793.51,73,73,26
74,07/23/2023,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1474.49,74,74,31
75,02/07/2024,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",1859.02,75,75,37
76,10/11/2023,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",1357.23,76,76,55
77,03/19/2024,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1294.17,77,77,24
78,01/22/2024,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1712.74,78,78,55
79,01/24/2024,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1946.62,79,79,62
80,06/11/2023,In congue. Etiam justo. Etiam pretium iaculis justo.,1358.97,80,80,9
81,02/04/2024,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,1274.12,81,81,10
82,04/09/2024,Phasellus in felis. Donec semper sapien a libero. Nam dui.,989.43,82,82,9
83,05/05/2024,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1415.38,83,83,8
84,12/31/2023,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1294.93,84,84,60
85,01/26/2024,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",1759.24,85,85,35
86,05/23/2024,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",820.98,86,86,43
87,11/15/2023,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1540.53,87,87,33
88,10/05/2023,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1769.56,88,88,54
89,07/13/2023,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1393.29,89,89,56
90,08/10/2023,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,912.06,90,90,17
91,11/14/2023,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1072.24,91,91,27
92,06/04/2024,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",528.49,92,92,39
93,10/10/2023,Sed ante. Vivamus tortor. Duis mattis egestas metus.,1524.82,93,93,61
94,03/29/2024,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1393.2,94,94,27
95,04/23/2024,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",843.8,95,95,2
96,02/24/2024,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1316.58,96,96,17
97,05/10/2024,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",626.18,97,97,61
98,04/12/2024,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1705.86,98,98,17
99,08/09/2023,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1870.89,99,99,67
100,06/25/2023,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1567.33,100,100,27
101,06/01/2024,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1042.27,101,101,59
102,02/17/2024,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,1785.87,102,102,61
103,02/15/2024,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",649.56,103,103,7
104,08/29/2023,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1018.76,104,104,39
105,05/31/2024,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,1820.37,105,105,12
106,04/26/2024,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,1557.55,106,106,50
107,02/25/2024,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1712.44,107,107,22
108,07/22/2023,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",918.72,108,108,39
109,06/28/2023,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",802.76,109,109,4
110,12/12/2023,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1141.53,110,110,2
111,06/08/2023,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",1688.01,111,111,44
112,04/08/2024,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",934.65,112,112,7
113,10/08/2023,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,512.41,113,113,2
114,05/28/2024,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,853.14,114,114,50
115,08/01/2023,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",989.74,115,115,10
116,12/10/2023,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1889.88,116,116,16
117,04/24/2024,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,1860.94,117,117,50
118,05/04/2024,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1753.93,118,118,47
119,07/04/2023,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,792.3,119,119,8
120,06/05/2024,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1286.29,120,120,7
121,08/13/2023,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1713.22,121,121,21
122,05/17/2024,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",548.59,122,122,56
123,05/12/2024,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",781.25,123,123,6
124,03/13/2024,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",560.78,124,124,60
125,10/22/2023,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",1379.4,125,125,3
126,03/12/2024,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1645.17,126,126,11
127,02/22/2024,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",794.82,127,127,48
128,07/26/2023,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1612.45,128,128,40
129,12/05/2023,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,853.04,129,129,11
130,10/02/2023,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",1164.76,130,130,40
131,12/10/2023,In congue. Etiam justo. Etiam pretium iaculis justo.,1561.12,131,131,23
132,03/05/2024,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1150.18,132,132,44
133,07/15/2023,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1774.96,133,133,23
134,03/12/2024,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,1895.67,134,134,46
135,02/09/2024,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,1268.1,135,135,38
136,03/26/2024,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1483.6,136,136,48
137,11/18/2023,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1619.94,137,137,62
138,06/18/2023,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",1503.59,138,138,53
139,10/29/2023,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,755.25,139,139,15
140,07/25/2023,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",703.97,140,140,32
141,03/16/2024,Fusce consequat. Nulla nisl. Nunc nisl.,1015.38,141,141,30
142,05/17/2024,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1753.76,142,142,63
143,04/06/2024,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1906.43,143,143,26
144,04/26/2024,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,1636.4,144,144,24
145,12/20/2023,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",1571.75,145,145,8
146,01/15/2024,Fusce consequat. Nulla nisl. Nunc nisl.,618.32,146,146,11
147,12/22/2023,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,566.25,147,147,59
148,01/31/2024,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",897.5,148,148,32
149,01/14/2024,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,813.93,149,149,66
150,01/01/2024,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1917.56,150,150,9
151,03/18/2024,Sed ante. Vivamus tortor. Duis mattis egestas metus.,1095.55,151,151,63
152,05/22/2024,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1638.01,152,152,65
153,04/08/2024,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",666.89,153,153,20
154,03/09/2024,In congue. Etiam justo. Etiam pretium iaculis justo.,1383.9,154,154,39
155,07/01/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1922.2,155,155,61
156,10/29/2023,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",1566.55,156,156,39
157,04/09/2024,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,1212.32,157,157,30
158,11/21/2023,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",1078.3,158,158,65
159,01/09/2024,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,1138.23,159,159,10
160,01/04/2024,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",670.86,160,160,50
161,01/14/2024,Phasellus in felis. Donec semper sapien a libero. Nam dui.,936.49,161,161,41
162,05/14/2024,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,818.66,162,162,68
163,12/10/2023,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,966.85,163,163,8
164,07/11/2023,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1296.66,164,164,40
165,07/23/2023,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",848.33,165,165,40
166,01/14/2024,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1148.91,166,166,50
167,07/04/2023,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1173.7,167,167,58
168,05/31/2024,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1964.36,168,168,11
169,10/27/2023,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,1263.11,169,169,9
170,10/15/2023,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1029.44,170,170,12
171,02/06/2024,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1017.22,171,171,47
