servicio_id,precio,fecha,descripcion,empleado_id,mascota_id
16,153.77,5/3/2024,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",23,842
17,332.39,6/13/2023,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,33,122
18,347.68,4/2/2024,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,29,451
19,383.51,4/22/2024,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",3,212
20,208.87,2/20/2024,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2,562
21,316.24,3/8/2024,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",12,786
22,441.54,5/21/2024,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,24,808
23,338.23,12/2/2023,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,24,801
24,301.96,3/3/2024,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",1,296
25,198.11,3/7/2024,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",47,821
26,283.62,7/11/2023,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",11,272
27,284.29,11/16/2023,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",42,828
28,385.38,2/3/2024,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",39,139
29,231.48,10/6/2023,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",48,816
30,334.9,11/3/2023,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",3,566
31,493.02,11/12/2023,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,15,769
32,200.35,8/26/2023,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",49,852
33,385.97,3/1/2024,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2,410
34,169.06,7/21/2023,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",41,716
35,405.81,10/18/2023,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,17,801
36,338.23,8/22/2023,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",49,883
37,268.58,8/26/2023,Sed ante. Vivamus tortor. Duis mattis egestas metus.,22,701
38,388.9,10/4/2023,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,16,495
39,365.64,6/11/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,22,482
40,393.46,7/17/2023,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,46,691
41,393.52,9/9/2023,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",39,162
42,312.81,9/11/2023,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",36,354
43,459.68,12/25/2023,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,50,784
44,440.76,10/11/2023,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",44,757
45,207.19,2/27/2024,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",38,180
46,197.36,11/8/2023,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",21,671
47,479.23,2/12/2024,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,8,893
48,421.97,12/1/2023,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",37,428
49,422.17,5/25/2024,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",19,108
50,297.23,5/22/2024,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,42,664
51,263.68,9/11/2023,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",25,140
52,329.01,6/22/2023,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,50,67
53,263.72,5/16/2024,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",12,895
54,290.67,11/15/2023,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,41,719
55,329.92,9/24/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,40,874
56,268.41,6/11/2023,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",35,968
57,422.18,11/2/2023,Sed ante. Vivamus tortor. Duis mattis egestas metus.,23,576
58,355.38,4/3/2024,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",22,316
59,488.82,4/18/2024,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,19,158
60,192.49,11/3/2023,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,4,618
61,338.55,3/30/2024,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",38,745
62,193.92,9/8/2023,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",33,624
63,461.76,9/7/2023,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",30,648
64,309.45,6/19/2023,Phasellus in felis. Donec semper sapien a libero. Nam dui.,2,161
65,307.0,11/24/2023,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,20,877
66,233.51,10/24/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,9,627
67,219.75,11/25/2023,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,32,238
68,176.05,4/4/2024,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",31,839
69,243.87,12/15/2023,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,25,253
70,275.0,12/6/2023,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",21,50
71,194.3,6/10/2023,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",38,499
72,402.12,12/5/2023,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,33,920
73,158.22,10/5/2023,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,34,877
74,299.22,5/18/2024,In congue. Etiam justo. Etiam pretium iaculis justo.,49,838
75,301.48,12/11/2023,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",5,395
76,454.27,12/27/2023,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",23,203
77,281.51,12/14/2023,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,48,306
78,380.97,7/5/2023,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,21,189
79,252.66,1/15/2024,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",25,762
80,420.66,10/7/2023,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,36,175
81,253.84,6/21/2023,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",32,41
82,317.72,4/17/2024,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",28,101
83,365.13,10/30/2023,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",41,35
84,413.78,7/26/2023,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,25,336
85,388.92,7/5/2023,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,48,513
86,326.53,3/17/2024,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",33,401
87,172.73,4/21/2024,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,6,62
88,150.56,9/17/2023,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",24,211
89,240.71,6/4/2024,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",22,734
90,401.9,6/27/2023,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,7,488
91,350.57,8/19/2023,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,13,532
92,378.71,7/11/2023,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1,647
93,402.66,12/7/2023,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,2,536
94,249.87,2/19/2024,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,12,367
95,283.48,12/16/2023,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",43,803
96,338.68,10/3/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,40,484
97,232.87,1/19/2024,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,24,840
98,314.6,3/23/2024,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,42,231
99,275.02,10/30/2023,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",18,44
100,316.74,11/27/2023,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,16,63
101,211.48,10/30/2023,Sed ante. Vivamus tortor. Duis mattis egestas metus.,18,498
102,466.35,3/31/2024,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,18,552
103,422.05,11/7/2023,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",18,744
104,379.06,1/12/2024,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,28,91
105,390.31,7/31/2023,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",13,752
106,153.05,3/5/2024,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,12,143
107,260.11,6/18/2023,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",16,990
108,193.3,4/6/2024,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,3,181
109,195.73,2/20/2024,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,50,340
110,427.28,8/24/2023,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,36,589
111,442.58,1/20/2024,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,17,755
112,399.67,8/7/2023,Fusce consequat. Nulla nisl. Nunc nisl.,41,552
113,154.79,4/1/2024,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",20,789
114,399.57,1/1/2024,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,3,971
115,214.14,9/12/2023,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,32,266
116,492.18,12/11/2023,Sed ante. Vivamus tortor. Duis mattis egestas metus.,11,503
117,412.01,3/11/2024,Phasellus in felis. Donec semper sapien a libero. Nam dui.,36,989
118,477.68,5/11/2024,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,30,991
119,161.46,4/15/2024,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",33,316
120,299.56,4/28/2024,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",31,658
121,291.03,9/3/2023,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,37,901
122,273.84,6/30/2023,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,30,611
123,225.28,3/18/2024,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",38,6
124,314.27,3/15/2024,Fusce consequat. Nulla nisl. Nunc nisl.,14,778
125,162.42,3/29/2024,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",23,968
126,422.02,9/11/2023,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,44,958
127,333.63,6/30/2023,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",49,382
128,303.15,3/28/2024,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",44,680
129,473.85,2/13/2024,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",1,10
130,216.27,7/27/2023,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,23,583
131,287.64,2/5/2024,Sed ante. Vivamus tortor. Duis mattis egestas metus.,28,406
132,216.04,2/13/2024,Phasellus in felis. Donec semper sapien a libero. Nam dui.,30,869
133,455.79,12/30/2023,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,20,700
134,415.61,11/29/2023,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,19,922
135,347.67,6/3/2024,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,14,332
136,456.29,11/11/2023,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",48,133
137,368.29,4/21/2024,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",37,800
138,291.19,11/30/2023,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,25,682
139,233.95,12/14/2023,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",1,856
140,369.16,7/28/2023,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,45,601
141,445.63,10/24/2023,In congue. Etiam justo. Etiam pretium iaculis justo.,27,315
142,480.5,2/16/2024,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",22,916
143,441.36,8/20/2023,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,21,833
144,439.29,7/29/2023,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,6,328
145,478.21,5/18/2024,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",46,115
146,459.52,3/16/2024,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,50,279
147,414.53,2/15/2024,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,7,892
148,320.36,10/29/2023,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",41,831
149,469.4,5/16/2024,In congue. Etiam justo. Etiam pretium iaculis justo.,47,720
150,369.91,7/20/2023,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,3,467
151,163.93,9/25/2023,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,11,655
152,327.46,6/2/2024,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,38,820
153,388.73,2/2/2024,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1,357
154,400.33,8/4/2023,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,42,552
155,253.5,3/9/2024,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,20,411
156,212.39,2/21/2024,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",15,149
157,236.69,4/20/2024,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,35,521
158,447.81,5/26/2024,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",2,984
159,319.04,8/17/2023,In congue. Etiam justo. Etiam pretium iaculis justo.,46,213
160,279.03,4/20/2024,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,7,695
161,402.08,10/7/2023,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,13,377
162,203.74,2/3/2024,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",30,235
163,400.04,9/15/2023,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",46,502
164,238.65,3/17/2024,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",22,366
165,301.6,8/19/2023,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,16,246
166,455.57,3/14/2024,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",42,161
167,324.23,8/2/2023,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,25,718
168,220.88,12/15/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,34,523
169,369.35,4/23/2024,Sed ante. Vivamus tortor. Duis mattis egestas metus.,25,78
170,229.73,9/6/2023,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",28,897
171,481.01,6/13/2023,Sed ante. Vivamus tortor. Duis mattis egestas metus.,50,408
172,248.06,4/19/2024,In congue. Etiam justo. Etiam pretium iaculis justo.,7,274
173,209.68,1/16/2024,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",20,246
174,348.19,8/18/2023,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",5,712
175,167.87,5/12/2024,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",11,817
176,344.97,11/13/2023,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",13,256
177,276.92,7/28/2023,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,17,627
178,469.75,11/24/2023,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",40,973
179,401.6,2/22/2024,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2,367
180,250.8,2/19/2024,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",41,655
181,228.26,10/5/2023,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",6,192
182,310.76,1/5/2024,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",32,358
183,280.2,4/27/2024,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,41,905
184,318.19,2/19/2024,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",8,255
185,264.93,10/15/2023,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,26,185
186,298.99,3/27/2024,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",42,928
